run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,597,0.017912070755183796,999,7805.175,0.3256851363571445
2,588,0.021489436934594396,999,6626.54,0.14924013967701824
3,645,0.018610327373179355,845,5176.371,0.10002262339631254
4,715,0.017463649402965197,999,8460.582,0.1575678947948284
5,676,0.020274709667679826,185,1522.028125,0.12026063934211019
6,730,0.01617256321319162,999,10497.209,0.29437116334878216
7,652,0.017128106275219126,999,5501.7135,0.10343757315333132
8,568,0.016771591884989133,464,2909.96175,0.19157740425377506
9,413,0.029738382334859263,435,4358.5055,0.5626090815692202
10,898,0.014817286705917664,999,8663.587,0.08819613618131121
