run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,88,0.14591778408397327,175,41.37058203125,1.1152176440862769
2,168,0.07566993577139718,147,38.660390625,0.32156553982003105
3,51,0.2575528948914771,250,79.999921875,1.085463020731421
4,35,0.28948680332728793,99,9.8493994140625,0.8729515575936863
5,23,0.4785025638082753,112,12.8012919921875,1.826305518331735
6,65,0.18152586129995493,123,21.2080859375,0.8988367199897767
7,123,0.11910892889751651,112,30.505853515625,1.0006848614874895
8,53,0.21564458451181087,92,15.3333935546875,1.6457091544596654
9,147,0.08088400574768481,342,128.4217734375,1.0932051544996346
10,85,0.13841713176054113,530,145.597625,0.4307157768046155
