run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,345,0.031106296484021172,377,873.456125,0.23307801799281783
2,171,0.06633314612316109,999,2839.95975,0.986977102256745
3,181,0.05825093833122464,999,1834.515875,0.2709139853777642
4,185,0.06905896985853041,999,2867.13825,0.28737697223755154
5,232,0.05301723809077822,999,3748.0685,0.3938929671983652
6,390,0.0336766732044709,999,4649.8495,0.121561913851362
7,569,0.024278018931303377,416,2109.6455,0.14001396887973344
8,263,0.04491544948331303,999,4220.478,0.5369604820236847
9,469,0.027188907045799533,214,404.56384375,0.1822252922069861
10,56,0.20707317761012486,604,1571.317625,1.1501454804092646
