run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,538,0.02369511437681971,999,7221.5345,0.16069148405590078
2,766,0.014252001560699223,999,8390.019,0.3693910400388038
3,342,0.039369909386885796,999,11115.832,0.35912050434513487
4,820,0.013551555028775843,999,8489.456,0.059891863603417465
5,335,0.03500788674425723,999,5905.2795,0.32307335381298813
6,732,0.016636191821489177,999,10603.383,0.2640077952623795
7,791,0.013433290040297093,999,6793.422,0.09276301396761076
8,1000,0.012194602966308594,999,12514.782,0.22139377117250114
9,468,0.02261441385644114,999,6085.589,0.2189932564058556
10,1000,0.013216794967651367,999,11973.386,0.19807714209333063
