run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,706,0.016870501358853523,101,1276.899125,0.6727077811956406
2,1000,0.012397228240966797,1999,27707.306,0.24980652993451805
3,229,0.04483017650754171,1999,11297.632,0.1483137235045433
4,943,0.01105690406969218,1999,25751.978,0.1099093949910123
5,523,0.023459607738837686,1999,16130.81,0.12959357051011425
6,378,0.03203027210538349,103,613.528,1.422483292161906
7,1000,0.01330078125,1999,27139.358,0.2788792583793402
8,443,0.027821487013427182,1999,13907.843,0.12008011341094971
9,339,0.03332475926672111,1999,8115.186,0.22788602486252785
10,512,0.02031906321644783,1999,12395.564,0.06354382240351697
