run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,114,0.1102547059979355,1999,3018.8855,1.1501773191256481
2,43,0.2482068705004315,1999,1183.8165,1.9471541792154312
3,48,0.2710408965746562,1999,1365.219,1.0086744725704193
4,53,0.21003518014583947,1999,1495.37925,1.3207588642835617
5,105,0.11488540286109561,1999,2843.9205,0.7345419257169679
6,106,0.1252969615864304,1999,2873.03875,1.1366359696916815
7,66,0.1665337880452474,1999,1857.6645,0.859073132276535
8,51,0.2639872420067881,1999,1387.351875,1.199848785996437
9,128,0.10146588087081909,1999,3516.508,1.1247360848356038
10,56,0.2000849757875715,1999,1577.458125,0.9183457940816879
