run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,46,0.14664467521335767,1999,1263.2915,1.1840457605279011
2,67,0.09510650919444526,1999,1876.59925,0.6770135313272476
3,86,0.05435782255128373,1999,2298.1345,1.341025985777378
4,98,0.0707789489201137,1999,2731.88125,2.3272063014458637
5,107,0.045139620237261334,1999,2932.75675,0.3528653409018695
6,16,0.3715682923793793,1999,476.637125,2.2146852500736713
7,288,0.022396605875757005,1999,5851.8085,0.35779612339360434
8,77,0.07845579494129527,1999,2112.9045,1.5498786121606827
9,34,0.16155512192670038,1999,943.276625,0.8683383464813232
10,285,0.018522053434137712,1999,7693.602,0.10235550986570224
