run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,211,0.015351923360453023,1958,6609.56,1.0904765260296982
2,233,0.016978791074054996,1999,5566.89,0.6641196189493667
3,174,0.016040750676935369,1999,7205.59925,1.166457000374794
4,250,0.005435755817830062,1999,9969.564,0.5054230228066444
5,215,0.027112179814552775,1999,9445.09625,1.4932599862315216
6,233,0.002214361017400568,1599,9873.175,0.19529084507089394
7,193,0.005398021100515342,1999,10902.5005,1.1845385074543666
8,200,0.016260196685791016,1999,9797.21375,0.8052664834159341
9,212,0.01327699089050293,1999,8596.998125,2.150441245237986
10,218,0.003082294393468786,1999,5042.97975,1.112032127159613
