run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,500,0.028817190170288085,101,113.5968203125,1.1631274917256087
2,310,0.03869844867337135,1999,1443.795625,1.1606793610439186
3,500,0.025644590377807617,101,111.7577578125,0.6373857194846496
4,436,0.024576025271634442,101,98.60609375,1.2529911293387583
5,500,0.02193845748901367,297,322.60484375,0.8676024907678366
6,500,0.022718381881713868,359,1532.198125,0.9908260973514988
7,430,0.02728519883266715,101,114.831890625,1.2419882669438456
8,500,0.027286800384521484,952,1305.0425,1.1178090397249907
9,500,0.02707105255126953,101,144.858984375,1.053630492772907
10,500,0.026021738052368164,101,140.919578125,1.2498142369128764
