run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,70,0.1687695366995675,1999,501.8496875,1.8088467556451049
2,45,0.26001531812879775,1999,313.283875,2.2524831149313185
3,38,0.33742495586997584,220,39.2981015625,1.3179278867809396
4,104,0.12945231107565072,1999,692.6158125,2.519709560590295
5,56,0.1900049958910261,1999,391.795625,1.7158552027706588
6,150,0.08923641840616862,1999,1170.3695,1.936900699014465
7,57,0.21759113512541117,1999,405.90740625,1.6988984900608397
8,54,0.21250389240406178,1999,409.1508125,1.4989814856262118
9,56,0.22042030947549002,1999,400.33371875,1.7332993695246321
10,39,0.3019544161283053,1999,266.55009375,2.1212402169521036
