run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,126,0.23726398225814577,1999,963.6755,1.3432388329789753
2,171,0.16970312107376187,131,85.79428125,1.0909487750359446
3,191,0.168032601241666,101,69.091046875,1.1862395273219228
4,250,0.11614363098144531,101,73.924390625,1.1721129805147648
5,128,0.21614132821559906,1999,1086.940875,1.0215472538257018
6,135,0.23647787306043838,1999,1066.285125,1.1995505992571514
7,189,0.1605354389816365,110,90.0037265625,1.0808281944936546
8,202,0.16040998402208384,101,79.6068671875,0.9823910904402781
9,179,0.16947143171086657,101,71.4816875,1.3297207093605117
10,119,0.2611377459614217,1999,1051.044875,1.1096456090191833
