run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,448,0.02482355066708156,118,201.423921875,1.119291498180246
2,415,0.030118661903473266,1999,3626.112,0.9906729886689818
3,346,0.038987931488566316,1999,2833.5135,1.1945699798643072
4,270,0.039882207799840856,1999,3225.17275,1.182987493959566
5,500,0.023759695053100587,101,183.32925,1.084589458335191
6,343,0.03392326310494203,101,126.177171875,1.9458042485775213
7,489,0.024803237681008554,101,184.6495,1.1437131452958855
8,143,0.07258279173524229,1999,1170.1245,1.6276331812247529
9,500,0.024724361419677734,1999,3583.869,0.8451818319642916
10,500,0.021355472564697265,1999,3895.93075,0.6910605116467923
