run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,81,0.1565196543564031,2000,604.134125,0.4814606106115712
2,226,0.04606435995186325,972,669.971375,0.4973940888040625
3,207,0.052490096161330956,2000,1195.74825,0.2623362981619826
4,165,0.07757852727716619,2000,970.13575,0.2338692503219301
5,59,0.15083762346687962,1944,340.350125,0.46503248558206073
6,122,0.1121218243583304,2000,769.243625,0.371781266653208
7,179,0.07504781797611514,2000,900.487125,0.31836520262874207
8,136,0.08551174051621381,2000,919.549875,0.2662962642087437
9,89,0.14219720176096712,2000,547.959,0.4805482999536763
10,114,0.11611065111662212,2000,770.6644375,0.3974272702624531
