run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,247,0.05316286434528799,186,146.51075,0.4132234959557713
2,76,0.16154146194458008,2000,488.88215625,0.46876527872671814
3,160,0.08678292036056519,500,243.4748125,0.7694750571157783
4,70,0.19197820935930524,2000,462.00396875,0.5502531682274171
5,48,0.2377528746922811,2000,343.50115625,0.7423598588211462
6,67,0.1922615535223662,1569,467.385875,0.8344714629338749
7,49,0.22600746154785156,2000,397.735125,0.6371674550583168
8,92,0.1374273922132409,2000,560.465,0.44129426964639645
9,62,0.1639889132591986,1780,338.42909375,0.5290858430727836
10,34,0.4134225564844468,2000,220.58528125,1.203523689223563
