run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,30,0.4209485689798991,2000,171.923265625,1.1589057259261608
2,38,0.3360982945090846,2000,239.688640625,1.1908214471646046
3,32,0.3793933689594269,219,46.26112109375,1.2336584073491395
4,57,0.19866163688793517,2000,444.447,0.5746856348491028
5,43,0.3138993507207826,312,164.505875,1.3642064062661903
6,62,0.21533553831038937,2000,462.1050625,0.8639728845728021
7,57,0.21982393766704358,2000,347.16271875,0.6144400076907978
8,36,0.3377092679341634,547,78.9371328125,0.9653234999212954
9,62,0.19479988467308781,2000,551.7338125,0.7212947804120279
10,73,0.14850117409065977,2000,467.18975,0.4698375580602721
