run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,71,0.1705078339912522,2000,410.08859375,0.5405059945310505
2,96,0.11924586693445842,281,88.2018984375,0.5590693070553243
3,49,0.23339617982202646,2000,368.79746875,0.8600730084034861
4,75,0.17256985982259115,1731,416.0264375,0.6678304296235243
5,40,0.35311546325683596,1708,208.01446875,0.9902969925664366
6,51,0.20348070182052314,351,70.6646484375,0.6154030267806614
7,64,0.16487085819244385,2000,450.963625,0.504650736664189
8,57,0.20451933877509937,1168,207.17575,0.6384523414859646
9,68,0.1778282277724322,2000,370.12396875,0.5512849771253326
10,15,0.7396045684814453,64,3.341621826171875,2.3992940187454224
