run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,137,0.08056340480774378,5000,5037.308584928513,0.2027689762861028
2,300,0.03657996700033524,5000,4097.552992582321,0.0926607483892478
3,433,0.02933495386550831,5000,4890.145974636078,0.07441141891285967
4,368,0.0329633216135881,5000,4595.582196712494,0.08284400789668814
5,181,0.06814883358497598,5000,3330.4122581481934,0.17463527967441814
6,279,0.03860716175391478,5000,4504.726610422134,0.09768186584167006
7,308,0.03256547408187919,5000,4949.411779642105,0.08189791605921669
8,299,0.03359434745527885,5000,5398.2776527404785,0.08430332040676021
9,332,0.036334253837037936,5000,5061.731451749802,0.0914644624547889
10,184,0.07037705017714403,5000,3664.980778694153,0.17893074736241982
