run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,51,0.2621361360023548,5000,1527.0877060890198,0.664555584017284
2,22,0.5442236322168431,5000,1170.335505247116,1.4025283388081962
3,28,0.3820095445808952,5000,1548.8706440925598,0.99422716832032
4,44,0.29892230348771437,5000,1444.2044923305511,0.7633071198947685
5,49,0.24434144513728145,5000,1579.4318962097168,0.6238670685585181
6,48,0.24036993578199675,5000,1350.3695316314697,0.6199299405166845
7,25,0.44267544645297535,5000,1140.8731002807617,1.1625284408244552
8,48,0.2587463436827553,5000,1167.6103281974792,0.6743003771407435
9,41,0.2570816616925503,5000,1142.600317955017,0.665807851430996
10,22,0.5055806443817591,5000,1109.9404792785645,1.318430869804055
