run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,123,0.18882890925216216,5000,2531.830905199051,0.2372112309831474
2,82,0.2544387429817829,5000,4048.426259756088,0.30620047561650973
3,113,0.20261509370673834,5000,2244.846900701523,0.31863939539195034
4,145,0.19358518895342454,5000,2568.4741365909576,0.24206515472501618
5,108,0.19138314687077292,5000,2788.7309725284576,0.23929366487592978
6,204,0.11335412252345346,5000,2517.213584423065,0.1265649914617649
7,121,0.21426343949231983,5000,1577.9735746383667,0.31180584022455125
8,102,0.1521926508693053,5000,2140.9112923145294,0.2542690535850875
9,115,0.12572454046057287,5000,2086.4062991142273,0.17498814770728855
10,90,0.20329400932690865,5000,2507.53679728508,0.3066823256369686
