run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,80,0.13591650518035656,5000,1343.397071838379,0.3423322487693249
2,67,0.18438694649955042,5000,1328.9681487083435,0.467335293683427
3,81,0.15337575304312082,5000,1369.8693404197693,0.40797698999616483
4,60,0.2021514908100103,5000,1498.908284664154,0.5199523906022648
5,195,0.06840503333145258,5000,2081.873128414154,0.17223331295054112
6,186,0.06509636231640877,5000,1962.7592129707336,0.16354904842111997
7,134,0.09074728912340906,5000,1607.5024905204773,0.2313794772868407
8,122,0.10219759311264166,5000,1512.9537320137024,0.2634092643522964
9,102,0.11228927890522063,5000,1458.6605143547058,0.29061007874444234
10,78,0.1918758952340431,5000,1284.2776145935059,0.49120258840874625
